dcp,legpgn01,dcpaix21678051,dcppwr21175796,10.141.65.90,12,149,ZP2_86_CI,10.141.65.91,DVEBMGS86
dcp,legpgn01,dcpaix21678066,dcppwr21175796,10.141.65.87,24,149,GP8_48_CI,10.141.65.88,DVEBMGS48
dcp,legpgn01,dcpaix21700956,dcppwr21175818,10.141.65.99,110,149,P8B_55_CI,10.141.65.100,DVEBMGS55
dcp,legpgn01,dcpaix21701794,dcppwr21175818,10.141.65.71,161,149,P9B_19_CI,10.141.65.72,DVEBMGS19
dcp,legpgn01,dcpaix21702579,dcppwr21175818,10.141.65.69,87,149,BWP_70_CI,10.141.65.70,DVEBMGS70
dcp,legpgn01,dcpaix21764051,dcppwr21175802,10.141.65.160,132,149,P1B_37_CI,10.141.65.161,DVEBMGS37
dcp,legpgn01,dcpaix21764063,dcppwr21175802,10.141.65.169,12,149,PGV_80_CI,10.141.65.170,DVEBMGS80
dcp,legpgn01,dcpaix21764078,dcppwr21175802,10.141.65.158,190,149,PCB_98_CI,10.141.65.159,DVEBMGS98
dcp,legpgn01,dcpaix21798795,dcppwr21175812,10.141.65.217,263,149,GPB_84_CI,10.141.65.218,SCS84
dcp,legpgn01,dcpaix21798795,dcppwr21175812,10.141.65.217,263,149,GPB_61_CI,10.141.65.218,DVEBMGS61
dcp,legpgn01,dcpaix21830077,dcppwr21175802,10.141.65.191,53,149,PP1_31_JI,10.141.65.192,SCS31
dcp,legpgn01,dcpaix21873496,dcppwr21656281,10.141.65.219,49,149,GPU_66_CI,10.141.65.220,DVEBMGS66
dcp,legpgn01,dcpaix21874445,dcppwr21656281,10.141.65.230,80,149,GPL_21_JI,10.141.65.231,SCS21
dcp,legpgn01,dcpaix21880014,dcppwr21402621,10.141.65.235,127,149,P01_20_CI,10.141.65.236,DVEBMGS20
