dcp,legdgn01,dcpaix21578870,dcppwr21175815,10.141.64.133,43,149,S8B,E47,DVEBMGS54,SMDA88,lincis8b5400,lincis8b5400,BLANK
dcp,legdgn01,dcpaix21578990,dcppwr21402010,10.141.64.222,92,149,SCJ SCB,BLANK,SCS05 DVEBMGS97,BLANK,linjiscj4400 linciscb9700,BLANK,SCB SCJ
dcp,legdgn01,dcpaix21578999,dcppwr21402010,10.141.64.248,25,149,BLANK,G31 G86,BLANK,SMDA93 SMDA83,BLANK,lindbgd81800c4 lindbgq82800c4,GD8 GQ8
dcp,legdgn01,dcpaix21579014,dcppwr21402010,10.141.64.243,30,149,BLANK,G55,BLANK,SMDA32,BLANK,lindbs8b5400c4,S8B
dcp,legdgn01,dcpaix21585299,dcppwr19322710,10.141.64.231,42,149,AGU,F63,DVEBMGS20,SMDA78,linciagu2000,linciagu2000,BLANK
dcp,legdgn01,dcpaix21613058,dcppwr21402010,10.141.65.28,43,149,BLANK,G33 G77,BLANK,SMDA70 SMDA66,BLANK,lindbgdb5300c4 lindbgqb6300c4,GDB GQB
dcp,legdgn01,dcpaix21614642,dcppwr21175815,10.141.64.147,49,149,GDU,BLANK,DVEBMGS65,BLANK,lincigdu6500,BLANK,BLANK
dcp,legdgn01,dcpaix21616713,dcppwr21402010,10.141.65.31,53,149,BWQ,G70,DVEBMGS72,SMDA73,lincibwq7200,lindbbwq7200c4,BWQ
dcp,legdgn01,dcpaix21617950,dcppwr21402621,10.141.64.95,73,149,GDA,E26 G32,DVEBMGS50,SMDA89 SMDA77,cigda50,lincigda5000 lindbgda5000c4,GDA
dcp,legdgn01,dcpaix21618125,dcppwr21175815,10.141.64.180,30,149,ZQ2 ZD2,E09 E68,DVEBMGS66 DVEBMGS56,SMDA62 SMDA85,lincizq26600 lincizd25600,lincizd25600 lincizq26600,BLANK
dcp,legdgn01,dcpaix21618215,dcppwr21402010,10.141.65.21,25,149,BLANK,G68 G22,BLANK,SMDA64 SMDA78,BLANK,lindbzq26600c4 lindbzd25600c4,ZD2 ZQ2
dcp,legdgn01,dcpaix21619650,dcppwr21175815,10.141.64.163,43,149,GDB GQB GDB GQB,E27 E77,DVEBMGS53 SCS64 SCS54 DVEBMGS63,SMDA88 SMDA86,lincigdb5300 lincigqb6300 lincigdb5300 lincigqb6300,lincigdb5300 lincigqb6300,BLANK
dcp,legdgn01,dcpaix21621467,dcppwr21402010,10.141.65.34,53,149,BWD,E21 G26,DVEBMGS71,SMDA76 SMDA75,lincibwd7100,lincibwd7100 lindbbwd7100c4,BWD
dcp,legdgn01,dcpaix21622719,dcppwr21402010,10.141.64.212,26,149,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,GDU
dcp,legdgn01,dcpaix21676879,dcppwr21402010,10.141.65.37,15,149,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,GDF
dcp,legdgn01,dcpaix21676882,dcppwr21402010,10.141.65.43,23,149,BLANK,G37,BLANK,SMDA71,BLANK,linjdgdl1100c4,GDL
dcp,legdgn01,dcpaix21677911,dcppwr21175818,10.141.65.81,39,149,GDL,GDL,SCS10,JC11,linjigdl1100,linjigdl1100,BLANK
dcp,legdgn01,dcpaix21677939,dcppwr21175818,10.141.65.77,18,149,GDF,GDF,SCS26,JC27,linjigdf2700,linjigdf2700,BLANK
dcp,legdgn01,dcpaix21700836,dcppwr21402010,10.141.65.122,22,149,PD1,PD1,SCS37,JC36,linjipd13600,linjipd13600,PD1
dcp,legdgn01,dcpaix21701257,dcppwr21175812,10.141.65.65,24,149,GQF,GQF,SCS29,JC30,linjigqf3000,linjigqf3000,BLANK
dcp,legdgn01,dcpaix21702346,dcppwr21175812,10.141.65.59,23,149,GQF,GQF,BLANK,J31,BLANK,linjigqf3100,BLANK
dcp,legdgn01,dcpaix21702413,dcppwr21402010,10.141.65.106,16,149,PFE,H77 H84,DVEBMGS07,SMDA63 SMDA62,lincipfe0700,lincipfe0700 lindbpfe0700c4,PFE
