dcp,legdgn01,dcpaix21912514,dcppwr21788375,10.141.66.28,40,149,,,,,,,TST
dcp,legdgn01,dcpaix21913504,dcppwr21175815,10.141.66.30,15,149,,,,,,,
dcp,legdgi01,dcpaix21314367,dcppwr19322687,10.141.112.30,80,327,SGX DGX DGX SGX,,SCS75 SCS67 DVEBMGS66 DVEBMGS74,,lincisgx7400 lincidgx6600 lincidgx6600 lincisgx7400,,
dcp,legdgi01,dcpaix21335690,dcppwr20164807,10.141.112.49,16,327,,,,,,,DGX SGX
dcp,legpgi01,dcpaix21404401,dcppwr21137046,10.141.112.39,83,327,PGX PGX,F13,SCS33 DVEBMGS32,SMDA86,lincipgx3200 lincipgx3200,lincipgx3200,
dcp,legpgi01,dcpaix21404635,dcppwr19322687,10.141.112.41,17,327,PGD,H13 PGD,SCS05,SMDA98 JC04,linjipgd0400,linjipgd0400 linjipgd0400,
dcp,legpgi01,dcpaix21408733,dcppwr20164807,10.141.112.64,13,327,,H11,,SMDA91,,linjdpgd0400c4,PGD
dcp,legpgi01,dcpaix21408740,dcppwr21175799,10.141.112.62,51,327,,H15,,SMDA82,,lindbpgx3200c4,PGX
dcp,legpgn01,dcpaix21289331,dcppwr19322693,10.141.64.104,13,149,PGI,W30 PGI,SCS06,SMDA30 JC07,linjipgi0700,dcpaix21289331 linjipgi0700,
dcp,legpgn01,dcpaix21289337,dcppwr21091687,10.141.64.40,47,149,,H12,,SMDA81,,lindbpgh5900c4,PGH
dcp,legpgn01,dcpaix21289487,dcppwr21091687,10.141.64.42,13,149,,H36,,SMDA80,,lindbgpt2000c4,GPT
dcp,legpgn01,dcpaix21290035,dcppwr20164807,10.141.64.19,7,149,,,,,,,PGI
dcp,legpgn01,dcpaix21290383,dcppwr21137046,10.141.64.50,148,149,PGH,F11,DVEBMGS59,SMDA87,lincipgh5900,lincipgh5900,
dcp,legpgn01,dcpaix21290504,dcppwr21137046,10.141.64.52,14,149,GPT GPT,F30,DVEBMGS20 SCS21,SMDA88,lincigpt2000 lincigpt2000,lincigpt2000,
dcp,legpgn01,dcpaix21296602,dcppwr21091687,10.141.64.106,50,149,,W01,,SMDA98,,lincidd15600,
dcp,legpgn01,dcpaix21327933,dcppwr19322687,10.141.64.121,16,149,PN2 PNU,F83 E51 PN2,SCS44 DVEBMGS42,SMDA83 SMDA80 JC43,linjipn24300 lincipnu4200,linjipn24300 lincipnu4200 linjipn24300,
dcp,legpgn01,dcpaix21335701,dcppwr20164807,10.141.64.144,16,149,,H72,,SMDA79,,lindbpnu4200c4,PNU PN2
dcp,legpgn01,dcpaix21402615,dcppwr19322710,10.141.64.82,84,149,,C98,,SMDA98,,linlpcup98,
