ENV,CLUSTER,LPAR,PHYSICAL_LPAR,PHYSICAL_IP,SLICES,VLAN_ID,ABAP_SIDs,JAVA_SIDs,DATABASES,ABAP_INSTANCES,JAVA_INSTANCES,SAP_HOSTNAMES,JAVA_HOSTNAMES
dcp,legdgn01,dcpaix21618125,dcppwr21175815,10.141.64.180,30,149,ZQ2 ZD2,E09 E68,,DVEBMGS66 DVEBMGS56,SMDA62 SMDA85,lincizq26600 lincizd25600,lincizd25600 lincizq26600
dcp,legdgn01,dcpaix21617950,dcppwr21402621,10.141.64.95,73,149,GDA,E26 G32,GDA,DVEBMGS50,SMDA89 SMDA77,lincigda5000,lincigda5000 lindbgda5000c4
dcp,legdgn01,dcpaix21617950,dcppwr21402621,10.141.64.95,73,149,GDA,E26 G32,GDA,DVEBMGS50,SMDA89 SMDA77,lincigda5000,lincigda5000 lindbgda5000c4
dcp,legdgn01,dcpaix21616713,dcppwr21402010,10.141.65.31,53,149,BWQ,G70,BWQ,DVEBMGS72,SMDA73,lincibwq7200,lindbbwq7200c4
dcp,legdgn01,dcpaix21616713,dcppwr21402010,10.141.65.31,53,149,BWQ,G70,BWQ,DVEBMGS72,SMDA73,lincibwq7200,lindbbwq7200c4
dcp,legdgn01,dcpaix21618215,dcppwr21402010,10.141.65.21,25,149,,G68 G22,ZD2 ZQ2,,SMDA64 SMDA78,,lindbzq26600c4 lindbzd25600c4
dcp,legdgn01,dcpaix21618125,dcppwr21175815,10.141.64.180,30,149,ZQ2 ZD2,E09 E68,,DVEBMGS66 DVEBMGS56,SMDA62 SMDA85,lincizq26600 lincizd25600,lincizd25600 lincizq26600
dcp,legdgn01,dcpaix21677939,dcppwr21175818,10.141.65.77,18,149,GDF,GDF,,SCS26,JC27,linjigdf2700,linjigdf2700
dcp,legdgn01,dcpaix21676879,dcppwr21402010,10.141.65.37,15,149,,,GDF,,,,
dcp,legdgn01,dcpaix21677911,dcppwr21175818,10.141.65.81,39,149,GDL,GDL,,SCS10,JC11,linjigdl1100,linjigdl1100
dcp,legdgn01,dcpaix21676882,dcppwr21402010,10.141.65.43,23,149,,G37,GDL,,SMDA71,,linjdgdl1100c4
dcp,legdgn01,dcpaix21702413,dcppwr21402010,10.141.65.106,16,149,PFE,,PFE,DVEBMGS07,,lincipfe0700,
dcp,legdgn01,dcpaix21702413,dcppwr21402010,10.141.65.106,16,149,PFE,,PFE,DVEBMGS07,,lincipfe0700,
dcp,legdgn01,dcpaix21701257,dcppwr21175812,10.141.65.65,24,149,GQF,GQF,,SCS29,JC30,linjigqf3000,linjigqf3000
dcp,legdgn01,dcpaix21702346,dcppwr21175812,10.141.65.59,23,149,,GQF,,,J31,,linjigqf3100
dcp,legdgn01,dcpaix21702425,dcppwr21402010,10.141.65.112,22,149,,,GQF,,,,
dcp,legdgn01,dcpaix21741781,dcppwr21402010,10.141.65.144,40,149,JGB AGB,JGB,AGB JGB,SCS01 DVEBMGS76,JC59,linjijgb5900 linciagb7600,linjijgb5900
dcp,legdgn01,dcpaix21741781,dcppwr21402010,10.141.65.144,40,149,JGB AGB,JGB,AGB JGB,SCS01 DVEBMGS76,JC59,linjijgb5900 linciagb7600,linjijgb5900
dcp,legdgn01,dcpaix21700836,dcppwr21402010,10.141.65.122,22,149,PD1,PD1,PD1,SCS37,JC36,linjipd13600,linjipd13600
dcp,legdgn01,dcpaix21700836,dcppwr21402010,10.141.65.122,22,149,PD1,PD1,PD1,SCS37,JC36,linjipd13600,linjipd13600
dcp,legdgn01,dcpaix21741781,dcppwr21402010,10.141.65.144,40,149,JGB AGB,JGB,AGB JGB,SCS01 DVEBMGS76,JC59,linjijgb5900 linciagb7600,linjijgb5900
dcp,legdgn01,dcpaix21741781,dcppwr21402010,10.141.65.144,40,149,JGB AGB,JGB,AGB JGB,SCS01 DVEBMGS76,JC59,linjijgb5900 linciagb7600,linjijgb5900
dcp,legdgn01,dcpaix21741514,dcppwr21402010,10.141.65.116,30,149,AGE,,AGE,DVEBMGS02,,linciage0200,
dcp,legdgn01,dcpaix21741514,dcppwr21402010,10.141.65.116,30,149,AGE,,AGE,DVEBMGS02,,linciage0200,
dcp,legdgn01,dcpaix21758893,dcppwr21402010,10.141.65.134,17,149,,H84 G98,HQS HPS,,SMDA66 SMDA64,,lindbhqs2100c4 lindbhps2200c4
dcp,legdgn01,dcpaix21765402,dcppwr21175815,10.141.65.180,17,149,HPS HQS,,,DVEBMGS22 DVEBMGS21,,lincihps2200 lincihqs2100,
dcp,legdgn01,dcpaix21517877,dcppwr21137049,10.141.64.184,35,149,MGB JMG,,LISTENER,DVEBMGS13 SCS04,,lincimgb1300 linjijmg4100,
dcp,legdgn01,dcpaix21518054,dcppwr21175799,10.141.64.76,25,149,,,JMG MGB,,,,
dcp,legdgn01,dcpaix21764174,dcppwr21175802,10.141.65.171,29,149,GQL,GQL,,SCS18,JC19,linjigql1900,linjigql1900
dcp,legdgn01,dcpaix21765574,dcppwr21175815,10.141.65.173,37,149,,GQL,,,J20,,linjigql2000
dcp,legdgn01,dcpaix21763143,dcppwr21175793,10.141.65.154,12,149,,,GQL,,,,
dcp,legdgn01,dcpaix21578990,dcppwr21402010,10.141.64.222,92,149,SCB SCJ,,SCB SCJ,DVEBMGS97 SCS05,,linciscb9700 linjiscj4400,
dcp,legdgn01,dcpaix21578990,dcppwr21402010,10.141.64.222,92,149,SCB SCJ,,SCB SCJ,DVEBMGS97 SCS05,,linciscb9700 linjiscj4400,
dcp,legdgn01,dcpaix21762210,dcppwr21402010,10.141.65.125,13,149,,G89,GRL,,SMDA62,,linjdgrl1500c4
dcp,legdgn01,dcpaix21765395,dcppwr21175815,10.141.65.175,21,149,GRL,GRL D12,,SCS14,JC15 SMDA93,linjigrl1500,linjigrl1500 linjigrl1500
